word,count
the,23135851162
and,12997637966
for,5933321709
you,2996181025
not,2633487141
are,2393614870
all,2022459848
new,1551258643
was,1483428678
can,1242323499
has,1046319984
but,999899654
our,998757982
one,993536631
may,827822032
out,741601852
use,719980257
any,710741293
see,681410380
his,660177731
who,630927278
web,619571575
now,611387736
get,605984508
how,571848080
its,525627757
top,484213771
had,480232730
day,446236148
two,441398439
buy,410780176
her,391961061
add,387231739
jan,366436194
she,339171382
sex,320105999
set,313469591
map,309676581
way,305515604
off,284035693
did,275369513
car,264720374
dvd,256530337
own,232011723
end,220812328
him,219516023
per,218945655
big,216690546
law,216122487
art,214702696
usa,206211773
old,199694226
non,196109547
why,192000672
low,184815478
man,181445531
job,177706929
too,176093255
men,174058407
box,169231297
gay,167587791
air,160850401
yes,159595214
hot,159287179
say,156845267
dec,154301106
san,151350397
tax,146906651
got,145057782
let,143062438
act,141076205
red,140799532
key,136862835
few,135132664
age,132725767
oct,129301730
pay,129198530
war,126517399
nov,126461152
fax,124500817
yet,123160529
sun,121218500
rss,120548796
run,117213565
net,116883588
put,115205090
try,114384208
god,113624357
log,111170350
faq,110323671
fun,108389630
feb,107483376
sep,107145206
lot,106405208
ask,106400213
due,104908310
mar,103203080
pro,102580860
url,100907064
aug,100502612
ago,98839705
apr,98081439
via,97167128
bad,95096787
far,93061804
jul,90810423
jun,89154690
oil,82178167
bit,82113875
bay,78967124
bar,77375075
dog,77271631
eur,75480922
pdf,74773048
usr,73064522
mon,72427611
com,72285198
gas,71518871
six,71366336
pre,70832130
sat,70639358
zip,70551270
bid,70427114
fri,67934088
wed,66796198
inn,66007529
ltd,65747979
los,65682137
inc,65312988
win,65264239
bed,64262881
tue,63387982
ass,62060498
thu,61622542
sea,61532852
cut,61337417
tel,60827708
kit,59963349
boy,58664244
est,58112143
son,58094311
mac,57875961
iii,57697189
gmt,57610397
max,57481472
xml,57241749
bin,57076312
van,55147325
ads,54513834
pop,54140138
int,54000221
hit,53171478
eye,52688696
usb,52008297
php,51652407
etc,51525815
msn,51090757
fee,50931988
las,50701997
min,50389892
aid,50022454
fat,48646296
saw,48544776
pst,48137341
xxx,47989278
tom,47775300
sub,47588521
led,47211631
fan,47045446
ten,46907473
cat,46839855
die,46745446
pet,45445524
guy,45286019
dev,45047619
cup,45032014
vol,44946800
lee,44561701
bob,42494016
fit,42342802
met,42223443
www,42076566
cum,42048929
ice,41706145
llc,41281263
sec,41177555
bus,41043865
bag,40671821
ibm,40259661
nor,39753116
bug,39672754
mid,39610476
jim,38854380
del,38223775
joe,37642746
cds,37396357
lab,35525966
cvs,35441636
des,35219152
lcd,34879794
ave,34706502
pic,33210991
tag,32432108
mix,32428241
vhs,32362671
fix,32334055
ray,32113994
dry,31744277
spa,31714574
con,31452344
ups,31451966
var,30384128
won,29998103
doc,29867704
mom,29736214
row,29649598
usd,29527576
eat,29237400
aim,28951240
les,28848836
ann,28832058
tip,28810209
ski,28663800
dan,28401202
fly,28279478
hey,27665343
bbc,27469485
tea,27406794
avg,27370055
sky,27281333
rom,27234302
toy,26924831
src,26854451
hip,26826008
dot,26590624
hiv,26575486
pda,26454587
dsl,26407952
zum,26349274
dna,26290902
tim,26111466
sql,26047194
don,26003672
gps,25572809
acc,25554700
cap,25436218
ink,25435469
pin,25080458
raw,25014172
gnu,24956702
ben,24884330
aol,24798471
hat,24383742
lib,24291030
utc,24175406
der,24152797
cam,23995601
wet,23918294
ram,23864106
fox,23795336
arm,23724057
pub,23372365
hop,22924925
gun,22834049
sam,22410798
pdt,22362104
ref,22087203
kid,22011943
pan,21810838
psp,21591313
und,21348520
nfl,21120518
iso,20728145
sum,20672326
oak,20577693
vat,20551018
sir,20336105
kim,20251249
spy,20024908
res,19797705
sit,19797379
wow,19778779
que,19386477
fig,19191343
tab,18977951
css,18910188
qty,18679423
bio,18409348
pcs,18280912
von,18214911
sci,17997395
edt,17988268
sin,17939608
ing,17637606
ftp,17559676
med,17531004
leg,17356748
abc,17320550
jay,17285391
gap,17269901
biz,17067959
rob,17016018
era,16930615
gcc,16872393
asp,16785885
jet,16673750
par,16646884
mad,16468434
ken,16418119
exp,16394663
pen,16371249
joy,16317856
cpu,16304338
ran,16291429
jon,16198666
ill,16143967
lbs,16128161
lay,16122690
lol,16103269
mph,15975134
bet,15943118
def,15888408
nba,15714432
epa,15664730
ron,15544519
org,15392460
dad,15136055
pat,15087654
reg,14995986
nsw,14881736
ear,14872850
pci,14864704
tie,14830885
ian,14812893
mod,14698596
bmw,14690982
cst,14620842
ceo,14610097
rep,14515807
mit,14453361
sri,14252518
toe,14248601
api,14226160
urw,14107957
lan,14086211
sms,14066848
nec,14001999
den,13641144
aud,13636055
lie,13533542
crm,13533108
amp,13421855
usc,13340286
amd,13312952
eve,13237067
pad,13159201
rod,13124744
hrs,13110679
sad,13010129
cal,12967326
pot,12927383
img,12922908
rpm,12872296
pee,12811886
tvs,12782654
egg,12766528
mhz,12762988
lat,12732598
sur,12632510
rev,12575365
nyc,12475941
